形態素	IOB2	メンション	wikipediaタイトル	wikipediaページ
				
平成				
二十				
八				
年				
十				
二				
月				
十				
三				
日				
（				
火曜				
日				
）				
　				
　				
　				
午前				
十				
時				
開会				
　				
　				
　				
　				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
　				
　				
　				
委員				
の				
異動				
　				
十				
二				
月				
十				
二				
日				
　				
　				
　				
　				
辞任				
　				
　				
　				
　				
　				
　				
　				
　				
　				
補欠				
選任				
　				
　				
　				
　				
　				
青山				
　				
繁晴				
君				
　				
　				
　				
　				
　				
佐藤				
　				
　				
啓				
君				
　				
　				
　				
　				
　				
進藤				
金				
日子				
君				
　				
　				
　				
　				
　				
山東				
　				
昭子				
君				
　				
　				
　				
　				
　				
神本				
美恵子				
君				
　				
　				
　				
　				
　				
森本				
　				
真治				
君				
　				
　				
　				
　				
　				
田村				
　				
智子				
君				
　				
　				
　				
　				
　				
大門				
実紀史				
君				
　				
　				
　				
　				
　				
浅田				
　				
　				
均				
君				
　				
　				
　				
　				
　				
清水				
　				
貴之				
君				
　				
十				
二				
月				
十				
三				
日				
　				
　				
　				
　				
辞任				
　				
　				
　				
　				
　				
　				
　				
　				
　				
補欠				
選任				
　				
　				
　				
　				
　				
小野田				
紀美				
君				
　				
　				
　				
　				
　				
こ				
やり				
隆史				
君				
　				
　				
　				
　				
　				
森本				
　				
真治				
君				
　				
　				
　				
　				
　				
神本				
美恵子				
君				
　				
　				
　				
　				
　				
大門				
実紀史				
君				
　				
　				
　				
　				
　				
田村				
　				
智子				
君				
　				
　				
　				
　				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
　				
　				
出席				
者				
は				
左				
の				
とおり				
。				
　				
　				
　				
　				
委員				
長				
　				
　				
　				
　				
　				
　				
　				
　				
　				
難波				
　				
奨				
二				
君				
　				
　				
　				
　				
理				
　				
事				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
上月				
　				
良祐				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
高野				
光二郎				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
相原				
久美子				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
西田				
　				
実仁				
君				
　				
　				
　				
　				
委				
　				
員				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
足立				
　				
敏之				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
有村				
　				
治子				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
江島				
　				
　				
潔				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
岡田				
　				
　				
広				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
こ				
やり				
隆史				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
佐藤				
　				
　				
啓				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
山東				
　				
昭子				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
豊田				
　				
俊郎				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
和田				
　				
政宗				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
神本				
美恵子				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
森本				
　				
真治				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
矢田				
わか子				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
里見				
　				
隆治				
君				
　				
　				
　				
　				
